CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
01385,13.82,18.52,25.01,17.49,7.12,22.18,33.93,35.24,6.19
01386,14.0,20.2,21.52,17.05,7.23,27.84,27.84,28.87,14.43
01387,14.06,23.83,19.53,11.33,3.52,22.22,27.78,44.44,5.56
01388,12.12,16.07,16.17,19.87,15.46,40.18,28.28,20.4,10.14
01389,18.39,17.25,21.58,15.38,8.14,28.14,29.51,30.67,10.94
01390,13.96,23.03,21.11,12.04,5.54,31.68,27.72,33.66,4.95
01391,7.15,16.9,19.04,29.25,11.67,36.98,42.32,17.1,3.6
01392,12.98,16.18,31.98,15.34,4.99,16.36,32.25,41.32,8.06
01393,14.08,21.78,21.34,12.72,4.28,20.08,30.53,41.72,2.58
01396,14.57,21.29,18.99,17.58,9.32,39.24,29.31,22.56,6.63
01397,13.7,20.65,22.29,19.73,5.42,25.3,30.12,33.73,9.64
01398,16.06,22.69,21.27,11.5,4.99,20.66,26.67,44.74,7.92
01399,16.76,23.17,21.68,12.44,4.57,31.25,28.01,36.68,2.91
01400,13.14,16.06,25.55,21.17,7.3,42.86,28.57,28.57,0.0
