,TYPECOM,COM,REG,DEP,LIBELLE_COM,LIBELLE_DEP,LIBELLE_REG,Code_postal,latitude,longitude
20662,COM,47057,75,47,Castillonnès,Lot-et-Garonne,Nouvelle-Aquitaine,47330,44.638838766,0.606338613
20663,COM,47058,75,47,Caubeyres,Lot-et-Garonne,Nouvelle-Aquitaine,47160,44.257728836,0.216746252
20664,COM,47059,75,47,Caubon-Saint-Sauveur,Lot-et-Garonne,Nouvelle-Aquitaine,47120,44.593104761,0.184811907
20665,COM,47060,75,47,Caudecoste,Lot-et-Garonne,Nouvelle-Aquitaine,47220,44.118511062,0.737803704
20666,COM,47061,75,47,Caumont-sur-Garonne,Lot-et-Garonne,Nouvelle-Aquitaine,47430,44.427436927,0.180239705
20667,COM,47062,75,47,Cauzac,Lot-et-Garonne,Nouvelle-Aquitaine,47470,44.275202603,0.821230035
20668,COM,47063,75,47,Cavarc,Lot-et-Garonne,Nouvelle-Aquitaine,47330,44.681931455,0.641718589
20669,COM,47064,75,47,Cazideroque,Lot-et-Garonne,Nouvelle-Aquitaine,47370,44.404105396,0.930357637
20670,COM,47065,75,47,Clairac,Lot-et-Garonne,Nouvelle-Aquitaine,47320,44.371142194,0.386109431
20671,COM,47066,75,47,Clermont-Dessous,Lot-et-Garonne,Nouvelle-Aquitaine,47130,44.24848515,0.455751563
20672,COM,47067,75,47,Clermont-Soubiran,Lot-et-Garonne,Nouvelle-Aquitaine,47270,44.141227806,0.848753802
20673,COM,47068,75,47,Cocumont,Lot-et-Garonne,Nouvelle-Aquitaine,47250,44.453538017,0.034312453
20674,COM,47069,75,47,Colayrac-Saint-Cirq,Lot-et-Garonne,Nouvelle-Aquitaine,47450,44.232647714,0.566526079
20675,COM,47070,75,47,Condezaygues,Lot-et-Garonne,Nouvelle-Aquitaine,47500,44.487718585,0.909151385
20676,COM,47071,75,47,Coulx,Lot-et-Garonne,Nouvelle-Aquitaine,47260,44.474209143,0.467436915
20677,COM,47072,75,47,Courbiac,Lot-et-Garonne,Nouvelle-Aquitaine,47370,44.376249499,1.039827898
20678,COM,47073,75,47,Cours,Lot-et-Garonne,Nouvelle-Aquitaine,47360,44.326095599,0.593419815
20679,COM,47074,75,47,Couthures-sur-Garonne,Lot-et-Garonne,Nouvelle-Aquitaine,47180,44.521035181,0.068130104
20680,COM,47075,75,47,La Croix-Blanche,Lot-et-Garonne,Nouvelle-Aquitaine,47340,44.290428912,0.693444128
20681,COM,47076,75,47,Cuq,Lot-et-Garonne,Nouvelle-Aquitaine,47220,44.080838257,0.716042114
20682,COM,47077,75,47,Cuzorn,Lot-et-Garonne,Nouvelle-Aquitaine,47500,44.547296272,0.948890571
20683,COM,47078,75,47,Damazan,Lot-et-Garonne,Nouvelle-Aquitaine,47160,44.289185426,0.275335348
20684,COM,47079,75,47,Dausse,Lot-et-Garonne,Nouvelle-Aquitaine,47140,44.387893353,0.887966294
20685,COM,47080,75,47,Dévillac,Lot-et-Garonne,Nouvelle-Aquitaine,47210,44.608587853,0.807997007
20686,COM,47081,75,47,Dolmayrac,Lot-et-Garonne,Nouvelle-Aquitaine,47110,44.356544503,0.591651873
20687,COM,47082,75,47,Dondas,Lot-et-Garonne,Nouvelle-Aquitaine,47470,44.240874237,0.85334257
20688,COM,47083,75,47,Doudrac,Lot-et-Garonne,Nouvelle-Aquitaine,47210,44.664664995,0.679834581
20689,COM,47084,75,47,Douzains,Lot-et-Garonne,Nouvelle-Aquitaine,47330,44.636358305,0.551539872
20690,COM,47085,75,47,Durance,Lot-et-Garonne,Nouvelle-Aquitaine,47420,44.157508287,0.163153513
20691,COM,47086,75,47,Duras,Lot-et-Garonne,Nouvelle-Aquitaine,47120,44.675995708,0.201918161
20692,COM,47087,75,47,Engayrac,Lot-et-Garonne,Nouvelle-Aquitaine,47470,44.25278249,0.899235882
20693,COM,47088,75,47,Escassefort,Lot-et-Garonne,Nouvelle-Aquitaine,47350,44.551982961,0.231915451
20694,COM,47089,75,47,Esclottes,Lot-et-Garonne,Nouvelle-Aquitaine,47120,44.715160026,0.150333966
20695,COM,47090,75,47,Espiens,Lot-et-Garonne,Nouvelle-Aquitaine,47600,44.17328199,0.382996761
20696,COM,47091,75,47,Estillac,Lot-et-Garonne,Nouvelle-Aquitaine,47310,44.169832399,0.577756774
20697,COM,47092,75,47,Fals,Lot-et-Garonne,Nouvelle-Aquitaine,47220,44.105250951,0.688785125
20698,COM,47093,75,47,Fargues-sur-Ourbise,Lot-et-Garonne,Nouvelle-Aquitaine,47700,44.230094018,0.15738253
20699,COM,47094,75,47,Fauguerolles,Lot-et-Garonne,Nouvelle-Aquitaine,47400,44.446674392,0.244309988
20700,COM,47095,75,47,Fauillet,Lot-et-Garonne,Nouvelle-Aquitaine,47400,44.425054307,0.291028616
20701,COM,47096,75,47,Ferrensac,Lot-et-Garonne,Nouvelle-Aquitaine,47330,44.641830203,0.638272678
20702,COM,47097,75,47,Feugarolles,Lot-et-Garonne,Nouvelle-Aquitaine,47230,44.217510686,0.361585913
20703,COM,47098,75,47,Fieux,Lot-et-Garonne,Nouvelle-Aquitaine,47600,44.099784093,0.423314923
20704,COM,47099,75,47,Fongrave,Lot-et-Garonne,Nouvelle-Aquitaine,47260,44.405087219,0.529304665
20705,COM,47100,75,47,Foulayronnes,Lot-et-Garonne,Nouvelle-Aquitaine,47510,44.253852271,0.637121421
20706,COM,47101,75,47,Fourques-sur-Garonne,Lot-et-Garonne,Nouvelle-Aquitaine,47200,44.455996755,0.15466703
20707,COM,47102,75,47,Francescas,Lot-et-Garonne,Nouvelle-Aquitaine,47600,44.067999521,0.428275025
20708,COM,47103,75,47,Fréchou,Lot-et-Garonne,Nouvelle-Aquitaine,47600,44.083621495,0.335309488
20709,COM,47104,75,47,Frégimont,Lot-et-Garonne,Nouvelle-Aquitaine,47360,44.27714071,0.463486658
