,CODGEO,TP6020
1570,04077,
1571,04079,
1572,04081,
1573,04084,
1574,04085,
1575,04086,
1576,04087,
1577,04088,19.0
1578,04090,
1579,04091,
1580,04092,
1581,04093,
1582,04094,14.0
1583,04095,
1584,04096,
1585,04097,
1586,04099,
1587,04101,
1588,04102,
1589,04104,
1590,04106,
1591,04107,
1592,04108,
1593,04109,
1594,04110,
1595,04111,
1596,04112,21.0
1597,04113,
1598,04115,
1599,04116,16.0
1600,04118,
1601,04120,
1602,04121,
1603,04122,
1604,04123,
1605,04124,
1606,04126,
1607,04127,
1608,04128,
1609,04129,
1610,04130,
1611,04132,
1612,04133,
1613,04134,
1614,04135,
1615,04136,
1616,04137,
1617,04138,
1618,04139,
1619,04140,
1620,04141,
1621,04142,
1622,04143,12.0
1623,04144,
1624,04145,
1625,04148,
1626,04149,13.0
1627,04150,
1628,04151,
1629,04152,8.0
1630,04154,
1631,04155,
1632,04156,
1633,04157,
1634,04158,
1635,04159,
1636,04160,
1637,04161,
1638,04162,
1639,04163,
1640,04164,
1641,04166,
1642,04167,
1643,04169,
1644,04170,
1645,04171,
1646,04172,
1647,04173,
1648,04174,
1649,04175,
1650,04176,
1651,04177,
1652,04178,
1653,04179,
1654,04180,
1655,04181,
1656,04182,
1657,04183,
1658,04184,
1659,04186,
1660,04187,
1661,04188,
1662,04189,
1663,04190,
1664,04191,
1665,04192,
1666,04193,
1667,04194,
1668,04195,
1669,04197,16.0
1670,04199,
1671,04200,
1672,04201,
1673,04202,
1674,04203,
1675,04204,
1676,04205,
1677,04206,
1678,04207,
1679,04208,
1680,04209,19.0
1681,04210,
1682,04211,
1683,04214,
1684,04216,
1685,04217,
1686,04218,
1687,04219,
1688,04220,
1689,04222,
1690,04224,
1691,04226,
1692,04227,
1693,04228,
1694,04229,
1695,04230,16.0
1696,04231,
1697,04233,
1698,04234,
1699,04235,
1700,04236,
1701,04237,
1702,04240,
1703,04241,
1704,04242,10.0
1705,04244,
1706,04245,10.0
1707,05001,
1708,05003,
1709,05004,
1710,05006,16.0
1711,05007,
1712,05008,
1713,05009,
1714,05010,
1715,05011,
1716,05012,
1717,05013,
1718,05014,
1719,05016,
1720,05017,8.0
1721,05018,
1722,05019,
1723,05021,
1724,05022,
1725,05023,15.0
1726,05024,
1727,05025,
1728,05026,
1729,05027,
1730,05028,
1731,05029,
1732,05031,
1733,05032,
1734,05033,
1735,05035,
1736,05036,
1737,05037,
1738,05038,
1739,05039,
1740,05040,11.0
1741,05044,
1742,05045,
1743,05046,15.0
1744,05047,
1745,05048,
1746,05049,
1747,05050,
1748,05051,
1749,05052,
1750,05053,
1751,05054,
1752,05055,
1753,05056,
1754,05057,
1755,05058,
1756,05059,
1757,05060,
1758,05061,14.0
1759,05062,
1760,05063,
1761,05064,
1762,05065,14.0
1763,05066,
1764,05068,
1765,05070,16.0
1766,05071,
1767,05072,
1768,05073,
1769,05074,
1770,05075,
1771,05076,
1772,05077,
1773,05078,
1774,05079,
1775,05080,
1776,05081,
1777,05082,
1778,05084,
1779,05085,
1780,05086,
1781,05087,
