CODGEO,MED20
02828,
02829,
02830,19350.0
02831,20180.0
02832,20410.0
02833,19560.0
02834,22250.0
03001,22440.0
03002,20580.0
03003,20600.0
03004,18160.0
03005,16900.0
03006,16660.0
03007,22680.0
03008,20280.0
03009,19480.0
03010,20270.0
03011,21690.0
03012,22270.0
03013,22900.0
03014,21160.0
03015,21000.0
03016,22360.0
03017,18360.0
03018,21440.0
03019,21120.0
03020,20580.0
03021,21590.0
03022,18360.0
03023,22710.0
03024,18360.0
03025,21380.0
03026,22860.0
03027,18970.0
03028,20070.0
03029,22270.0
03030,22060.0
03031,21190.0
03032,19730.0
03033,21520.0
03034,20020.0
03035,16270.0
03036,21130.0
03037,19010.0
03038,23350.0
03039,20980.0
03040,25200.0
03041,20010.0
03042,18230.0
03043,20590.0
03044,23010.0
03045,22350.0
03046,18600.0
03047,21450.0
03048,19410.0
03049,22100.0
03050,15450.0
03051,19950.0
03052,22310.0
03053,21140.0
03054,23900.0
03055,21480.0
03056,20910.0
03057,20690.0
03058,20470.0
03059,21080.0
03060,23020.0
03061,22610.0
03062,23350.0
03063,21460.0
03064,19490.0
03065,20780.0
03066,18770.0
03067,22750.0
03068,19020.0
03069,19870.0
03070,20910.0
03071,19000.0
03072,21350.0
03073,22850.0
03074,21460.0
03075,21800.0
03076,23410.0
03077,17330.0
03078,21010.0
03079,21550.0
03080,22280.0
03081,20040.0
03082,20110.0
03083,22090.0
03084,20750.0
03085,24140.0
03086,20010.0
03087,18580.0
03088,17700.0
03089,20370.0
03090,18690.0
03091,21610.0
03092,21500.0
03093,23410.0
03094,24640.0
03095,20260.0
03096,
03097,22470.0
03098,21580.0
03099,20150.0
03100,20940.0
03101,22310.0
03102,20370.0
03103,18210.0
03104,21170.0
03105,20720.0
03106,22150.0
03107,21820.0
03108,20580.0
03109,21390.0
03110,24120.0
03111,22520.0
03112,20710.0
03113,19520.0
03114,23110.0
03115,21340.0
03116,21300.0
03117,19560.0
03118,20220.0
03119,19950.0
03120,21020.0
03121,23350.0
03122,20300.0
03124,21000.0
03125,13820.0
03126,22490.0
03127,22010.0
03128,21480.0
03129,20160.0
03130,19370.0
03131,20380.0
03132,20620.0
03133,21490.0
03134,22720.0
03135,19430.0
03136,18440.0
03137,21520.0
03138,19880.0
03139,17950.0
03140,22100.0
03141,18870.0
03142,18870.0
03143,
03144,20250.0
03145,23330.0
03146,20780.0
03147,17260.0
03148,19500.0
03149,22610.0
03150,18700.0
03151,22490.0
03152,19820.0
03154,18100.0
03155,19640.0
03156,22290.0
03157,21800.0
03158,20570.0
03159,20440.0
03160,21870.0
03161,21490.0
03162,24230.0
03163,21650.0
03164,21170.0
03165,19090.0
03166,22600.0
03167,21260.0
03168,20680.0
03169,21210.0
03170,22790.0
03171,20130.0
03172,18430.0
03173,20350.0
03174,21780.0
03175,19450.0
03176,21360.0
03177,18010.0
03178,18790.0
03179,20220.0
03180,21320.0
03181,20120.0
03182,23280.0
03183,20660.0
03184,23590.0
03185,19120.0
03186,19220.0
03187,21930.0
03188,21890.0
03189,20650.0
03190,19600.0
03191,19380.0
03192,21130.0
03193,21320.0
03194,20600.0
03195,23190.0
03196,18170.0
03197,22540.0
03198,20900.0
03200,25180.0
03201,17780.0
03202,18970.0
03203,19770.0
03204,21320.0
03205,20110.0
03206,18480.0
03207,20660.0
03208,18310.0
03209,23920.0
03210,19920.0
03211,23800.0
03212,22820.0
03213,21530.0
03214,19730.0
03215,22000.0
03216,19420.0
03217,23830.0
03218,23410.0
03219,22640.0
03220,21000.0
03221,20300.0
03222,
03223,21880.0
03224,17400.0
03225,19360.0
03226,17830.0
03227,21890.0
03228,
03229,20710.0
03230,21470.0
03231,20480.0
03232,22340.0
03233,23610.0
03234,20160.0
03235,20400.0
03236,19550.0
03237,19870.0
03238,19530.0
03239,19500.0
03240,19390.0
03241,18260.0
03242,21130.0
03243,23700.0
03244,22600.0
03245,22710.0
03246,21590.0
03247,20690.0
03248,18640.0
03249,18620.0
03250,20680.0
03251,20870.0
03252,22700.0
03253,21290.0
03254,20420.0
03255,20990.0
03256,21110.0
03257,21440.0
03258,23430.0
03259,19430.0
03260,18610.0
03261,22690.0
03262,23930.0
03263,21580.0
03264,20710.0
03265,19530.0
03266,21650.0
03267,22730.0
03268,21530.0
03269,
03270,21670.0
03271,24640.0
03272,18140.0
03273,22390.0
03274,18570.0
03275,20950.0
03276,20800.0
03277,20030.0
03278,22130.0
03279,20780.0
03280,18810.0
03281,20170.0
03282,18160.0
03283,20880.0
03284,20630.0
03285,22260.0
03286,23650.0
03287,20080.0
03288,19020.0
03289,20550.0
03290,24180.0
03291,20680.0
03292,21170.0
03293,20000.0
03294,23040.0
03295,
03296,19220.0
03297,20130.0
03298,19790.0
03299,16770.0
03300,19030.0
03301,22670.0
03302,
03303,20260.0
03304,24370.0
03305,22050.0
03306,24890.0
03307,23770.0
03308,17720.0
03309,18290.0
03310,19740.0
03311,22980.0
03312,19400.0
03313,20460.0
03314,24520.0
03315,20540.0
03316,20990.0
03317,18690.0
03319,20170.0
03320,19000.0
03321,22930.0
04001,24090.0
04004,20530.0
04005,
04006,20690.0
04007,
04008,19900.0
04009,
04012,
04013,23240.0
04016,
04017,
04018,19280.0
04019,19800.0
04020,17650.0
04021,20880.0
04022,18300.0
04023,20140.0
04024,19940.0
04025,20340.0
04026,19930.0
04027,24770.0
04028,18180.0
04030,
04031,21040.0
04032,21950.0
04033,19930.0
04034,19970.0
04035,21230.0
04036,23820.0
04037,
04039,19940.0
04040,
04041,20230.0
04042,21580.0
04043,
04045,19550.0
04046,22760.0
04047,23680.0
04049,20370.0
04050,
04051,
04053,24230.0
04054,
04055,18680.0
04057,16710.0
04058,21680.0
04059,19890.0
04061,21200.0
04062,19370.0
04063,24080.0
04065,20620.0
04066,21590.0
04067,
04068,24300.0
04069,
04070,20860.0
04072,
04073,22380.0
04074,17960.0
04075,25210.0
04076,20490.0
04077,20950.0
04079,22520.0
04081,21330.0
04084,22120.0
04085,
04086,23820.0
04087,22000.0
04088,20220.0
04090,18500.0
04091,
04092,
04093,
04094,21350.0
04095,
04096,20950.0
04097,20510.0
04099,18320.0
04101,18370.0
04102,17140.0
04104,17360.0
04106,23270.0
04107,
04108,20430.0
04109,23410.0
04110,23060.0
04111,20650.0
04112,20660.0
04113,24340.0
04115,17540.0
04116,20300.0
04118,18890.0
04120,
04121,21370.0
04122,23710.0
04123,22210.0
04124,20090.0
04126,20020.0
04127,21580.0
04128,22640.0
04129,
04130,21490.0
04132,20520.0
04133,19500.0
04134,19510.0
04135,19290.0
04136,23120.0
04137,
04138,21260.0
04139,21890.0
04140,22280.0
04141,20830.0
04142,
04143,22360.0
04144,17160.0
04145,21280.0
04148,19460.0
04149,21400.0
04150,18760.0
04151,21750.0
04152,27260.0
04154,
04155,19070.0
04156,21270.0
04157,21110.0
04158,18510.0
04159,
04160,20970.0
04161,19760.0
04162,20150.0
04163,20430.0
04164,
04166,19760.0
04167,21940.0
04169,
04170,
04171,
04172,19220.0
04173,22060.0
04174,20960.0
04175,
04176,24430.0
04177,
04178,20370.0
04179,
04180,
04181,
04182,18090.0
04183,20350.0
04184,17100.0
04186,
04187,
04188,20550.0
04189,20720.0
04190,
04191,
04192,22510.0
04193,18400.0
04194,19000.0
04195,21940.0
04197,21660.0
04199,21260.0
04200,24400.0
04201,18920.0
04202,18270.0
04203,20210.0
04204,20400.0
04205,20330.0
04206,21360.0
04207,
04208,21220.0
04209,20300.0
04210,16390.0
04211,20340.0
04214,18290.0
04216,20560.0
04217,20340.0
04218,19040.0
04219,17890.0
04220,20920.0
04222,21760.0
04224,
04226,22260.0
04227,19030.0
04228,
04229,20850.0
04230,21420.0
04231,21300.0
04233,18690.0
04234,20100.0
04235,
04236,
04237,21130.0
04240,19230.0
04241,22900.0
04242,22390.0
04244,22390.0
04245,22630.0
05001,20260.0
05003,22440.0
05004,22350.0
05006,20080.0
05007,19740.0
05008,19280.0
05009,20780.0
05010,19580.0
05011,21340.0
05012,21440.0
05013,21850.0
05014,18490.0
05016,20510.0
05017,21900.0
05018,27560.0
05019,21370.0
05021,20850.0
05022,18270.0
05023,20950.0
05024,21190.0
05025,20470.0
05026,23230.0
05027,19390.0
05028,16740.0
05029,21600.0
05031,20010.0
05032,19580.0
05033,
05035,
05036,21370.0
05037,25570.0
05038,21790.0
05039,20200.0
05040,22240.0
05044,19910.0
05045,20990.0
05046,21110.0
05047,
05048,17750.0
05049,
05050,19030.0
05051,
05052,21670.0
05053,21730.0
05054,19490.0
05055,18440.0
05056,19410.0
05057,26110.0
05058,20650.0
05059,24140.0
05060,23690.0
05061,21790.0
05062,21400.0
05063,19440.0
05064,
05065,20720.0
05066,
05068,21800.0
05070,20470.0
05071,23420.0
05072,21600.0
05073,23990.0
05074,22220.0
05075,21700.0
05076,
05077,21380.0
05078,19760.0
05079,21250.0
05080,
05081,
05082,19620.0
05084,22370.0
05085,21360.0
05086,
05087,21260.0
05089,
05090,20730.0
05091,
05092,25550.0
05093,19270.0
05094,
05095,19580.0
05096,21810.0
05097,20510.0
05098,21880.0
05099,
05100,24820.0
05101,20590.0
05102,
05103,21120.0
05104,21000.0
05106,25090.0
05107,23590.0
05108,20890.0
05109,22860.0
05110,21080.0
05111,22890.0
05112,
05113,23950.0
05114,20860.0
05115,19290.0
05116,20590.0
05117,18530.0
05118,21290.0
05119,23490.0
05121,20320.0
05122,20780.0
05123,22440.0
05124,21830.0
05126,18710.0
05127,21670.0
05128,21500.0
05129,20140.0
05130,24970.0
05131,
05132,21300.0
05133,22640.0
05134,21210.0
05135,
05136,20850.0
05139,21710.0
05140,22130.0
05142,20150.0
05144,19290.0
05145,21050.0
05146,19780.0
05147,22210.0
05148,22500.0
05149,21460.0
05151,22540.0
05152,17980.0
05153,21380.0
05154,19910.0
05155,
05156,22220.0
05157,19540.0
05158,19580.0
05159,
05160,
05161,21240.0
