CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,TP6020,pop_tot
59249,29.81,30.47,72.21,53.91,20.21,32.0,11574
59253,23.75,28.6,87.02,36.8,21.55,26.0,7491
59256,7.05,15.79,91.02,16.12,14.08,8.0,3278
59260,10.19,21.61,94.06,18.04,18.25,9.0,4170
59262,10.38,24.15,97.57,17.8,15.48,12.0,2098
59266,8.23,14.77,92.06,18.85,16.42,5.0,4039
59268,11.03,22.08,86.99,31.31,15.67,12.0,5692
59271,28.14,35.9,51.38,56.44,26.16,31.0,20840
59272,20.01,29.88,87.03,39.29,21.21,17.0,5103
59273,14.44,23.7,76.36,48.07,18.46,14.0,11175
59276,21.05,29.11,92.31,50.76,19.91,23.0,4695
59278,10.44,16.78,91.97,16.93,13.67,7.0,4733
59279,13.49,24.76,74.74,32.04,15.53,16.0,20934
59284,12.09,21.12,91.92,23.1,15.68,10.0,3931
59285,14.06,19.83,98.91,23.02,14.64,15.0,2670
59286,14.25,22.71,58.36,40.86,15.86,15.0,14661
59288,15.64,22.86,92.53,27.86,18.03,17.0,2354
59291,32.37,27.95,76.22,53.48,20.23,32.0,14413
59292,27.45,29.68,99.18,59.1,20.81,25.0,3288
59295,14.01,25.09,74.57,38.59,16.7,15.0,21869
59299,16.92,23.45,82.33,39.63,17.54,16.0,18610
59301,13.62,20.83,97.17,18.05,19.63,14.0,4492
59302,15.9,20.07,91.05,39.54,18.01,18.0,4153
59309,14.73,24.85,87.15,30.57,16.03,16.0,4123
59314,18.84,24.55,98.72,37.77,18.4,17.0,3583
59316,9.55,18.77,92.47,26.67,15.27,7.0,3344
59317,12.99,23.34,88.24,30.48,15.25,13.0,7966
59322,18.59,24.93,92.54,28.57,16.58,17.0,3389
59324,29.36,27.89,71.94,50.05,21.96,32.0,10544
59327,19.9,30.01,88.84,51.15,17.74,21.0,6346
59328,10.34,11.33,58.02,31.84,15.21,10.0,27868
59329,15.79,18.47,89.09,38.53,14.4,10.0,5038
59331,24.88,34.04,71.83,44.16,19.49,24.0,3545
59339,10.48,19.9,86.66,22.69,15.34,7.0,9628
59340,16.87,22.94,83.42,33.02,18.91,9.0,4250
59343,8.57,13.46,72.6,31.48,14.72,8.0,9199
59344,20.12,23.06,95.4,38.33,19.89,17.0,2510
59345,20.11,19.36,86.79,36.13,17.24,18.0,2442
59350,18.87,14.14,22.03,63.63,24.27,25.0,238104
59352,10.22,20.18,78.21,28.49,15.4,7.0,8307
59357,12.2,19.35,96.98,22.11,19.82,12.0,2103
59359,13.69,26.32,90.76,39.82,17.99,11.0,6157
59360,18.44,20.56,42.35,54.06,19.67,22.0,23153
59361,36.78,33.71,89.48,52.94,23.36,35.0,3895
59365,37.42,30.28,64.65,57.65,22.74,41.0,6429
59367,14.09,20.45,69.03,32.46,16.41,14.0,13942
59368,12.86,14.23,30.62,48.57,13.59,13.0,22387
59369,14.11,21.44,90.2,20.28,17.14,12.0,4092
59375,10.95,17.39,88.62,22.27,14.75,9.0,4612
59378,10.39,11.93,56.15,34.32,15.13,10.0,39319
59383,21.58,23.5,68.87,45.73,16.25,21.0,12135
59385,21.83,20.65,90.34,34.73,18.3,24.0,2695
59386,10.5,20.02,76.79,29.24,15.82,10.0,11175
59389,18.42,24.1,96.04,27.54,15.08,16.0,2787
59390,23.55,29.57,93.18,52.46,21.37,26.0,4122
59392,33.36,29.86,56.89,50.11,22.48,34.0,29913
59400,14.46,26.32,87.08,31.02,17.36,15.0,9780
59401,10.15,19.46,95.47,22.93,12.98,10.0,2311
59409,16.64,21.12,97.68,30.38,20.19,16.0,2527
59410,19.69,21.09,44.07,49.93,19.4,24.0,21697
59414,17.76,28.6,90.93,38.89,21.12,19.0,4809
59421,11.34,14.46,72.33,27.28,14.18,8.0,13210
59426,8.77,16.72,88.03,17.66,14.35,6.0,10194
59428,19.69,25.26,86.57,34.77,15.89,17.0,3963
59429,16.37,25.02,96.02,23.85,17.52,17.0,2702
59431,11.87,21.92,79.76,32.51,17.05,12.0,7612
59447,21.24,24.82,89.89,44.74,19.37,23.0,8807
59449,13.0,20.29,67.35,42.09,15.93,12.0,8672
59452,20.01,28.87,94.31,40.35,18.64,21.0,5675
59456,24.76,29.25,92.84,56.51,19.57,24.0,6489
59457,11.33,23.48,77.12,28.37,13.74,9.0,8629
59459,13.74,18.03,88.72,29.16,18.99,15.0,5119
59462,10.35,15.08,81.72,21.95,15.49,5.0,4885
59464,18.02,31.9,96.29,31.61,17.33,21.0,2240
59467,13.13,15.07,90.48,30.4,16.43,17.0,2461
59475,17.93,18.61,95.67,34.84,17.36,14.0,2209
59476,15.05,18.19,95.44,26.37,17.08,10.0,3165
59477,11.51,18.89,89.53,26.54,14.17,12.0,4532
59479,12.38,18.46,94.07,20.49,17.27,13.0,3135
59481,21.2,28.43,64.91,47.84,17.1,20.0,4983
59482,9.68,21.12,89.44,24.1,14.97,9.0,7045
59484,29.84,29.5,80.12,52.33,22.41,32.0,6387
59486,12.14,19.52,93.16,22.33,14.06,12.0,2724
59488,16.14,22.55,92.48,22.12,17.21,13.0,2195
59489,13.04,21.05,96.46,19.6,16.01,10.0,4064
59491,27.62,28.89,82.7,50.65,21.14,28.0,12253
59495,26.35,28.28,84.73,31.96,20.58,23.0,2485
59504,20.22,24.01,95.29,30.68,18.12,20.0,3816
59507,15.18,20.16,57.98,36.16,15.79,18.0,19061
59508,9.55,19.75,74.31,27.17,14.57,7.0,13675
59509,14.8,23.35,95.39,33.67,17.66,15.0,6032
59512,31.1,32.46,44.86,61.24,24.39,42.0,98480
59514,17.08,17.5,83.82,28.86,16.74,17.0,4142
59524,8.45,16.92,93.0,21.71,13.52,7.0,5647
59525,26.6,29.19,84.65,41.37,17.22,26.0,2812
59526,17.24,24.0,71.36,40.14,17.15,18.0,16177
59527,10.76,16.2,54.38,40.37,13.48,10.0,13104
59544,14.4,17.13,64.22,40.5,16.7,16.0,11416
59550,10.56,19.64,93.72,26.68,15.23,9.0,3006
59553,7.77,15.4,91.61,17.73,15.09,5.0,5714
59557,11.92,14.47,87.02,31.75,17.64,9.0,2594
59560,13.85,22.56,65.91,36.47,15.76,14.0,12598
59564,20.79,25.15,80.46,45.01,19.86,23.0,3167
59566,8.26,18.89,81.66,16.16,29.62,7.0,4850
59569,21.63,27.15,78.33,44.74,19.03,23.0,15539
59571,23.44,25.84,87.8,36.58,18.32,24.0,4374
59574,22.79,26.28,86.85,46.31,19.74,23.0,11952
59580,11.85,26.7,88.84,27.32,16.07,10.0,4408
59581,9.45,22.09,92.56,24.82,14.94,7.0,3661
59585,9.5,14.68,77.9,21.74,13.95,8.0,3563
59586,7.03,15.11,84.25,21.62,13.87,6.0,6559
59588,10.96,14.32,84.29,25.39,16.79,10.0,8474
59589,13.87,17.93,92.75,33.35,16.88,14.0,3024
59592,10.76,21.76,95.05,16.07,16.37,7.0,4001
59598,7.71,14.89,95.89,21.77,14.0,7.0,3945
59599,22.0,24.76,55.82,47.84,18.11,27.0,99826
59601,21.69,32.35,84.85,36.46,18.57,21.0,2811
59603,20.59,26.3,80.8,37.85,20.52,18.0,6265
59606,21.51,17.97,42.37,57.57,23.24,24.0,43188
59616,21.53,29.96,92.15,40.6,21.19,25.0,10465
59624,23.52,34.34,97.23,30.51,15.65,22.0,2171
59630,14.36,23.96,90.1,21.11,14.77,10.0,2664
59631,23.22,31.44,94.54,25.98,15.32,18.0,2157
59632,17.72,21.54,98.14,40.14,17.4,19.0,5652
59636,8.91,19.88,70.12,31.69,14.06,7.0,10821
59646,11.12,17.62,60.47,35.77,14.43,9.0,21190
59647,17.61,32.67,87.14,40.02,19.39,21.0,2608
59648,15.63,17.87,52.18,43.07,16.13,19.0,15572
59650,18.84,29.35,72.9,39.08,16.82,21.0,41197
59653,11.0,16.53,85.24,26.84,15.47,11.0,7793
59654,26.94,30.34,86.7,55.94,21.58,30.0,7444
59656,12.42,20.6,75.38,34.86,14.69,12.0,5373
59659,26.71,35.62,89.41,41.56,19.74,27.0,2863
59660,10.08,19.14,90.01,30.27,17.49,8.0,3053
59663,10.23,22.12,86.66,25.8,14.72,10.0,5794
60012,11.64,20.56,89.31,19.25,13.93,6.0,3372
60029,13.38,28.23,84.96,33.41,15.82,9.0,2895
60057,22.51,26.14,33.46,58.85,20.31,24.0,58306
60068,11.45,26.54,68.57,33.07,13.95,10.0,3195
60088,9.64,20.87,76.72,25.37,14.48,6.0,4844
60103,9.76,27.89,75.94,32.71,16.38,11.0,4047
60104,21.37,33.22,72.8,55.02,17.45,23.0,4302
60107,8.99,15.0,84.85,16.66,14.75,6.0,3278
60116,11.39,25.38,86.89,17.18,14.36,10.0,2992
60134,9.76,16.23,94.51,13.35,13.32,8.0,2660
60139,11.09,17.88,60.47,45.77,13.84,10.0,10266
60141,10.89,15.02,15.62,51.01,11.36,9.0,10821
60143,11.42,23.64,69.08,33.77,12.96,9.0,3391
60151,11.69,18.46,82.29,25.5,15.59,8.0,3412
60155,11.46,28.28,73.26,27.4,17.67,8.0,4050
60157,12.76,21.8,43.0,51.64,16.38,14.0,10481
60159,16.26,18.85,21.22,59.7,21.3,21.0,41470
60172,9.59,10.48,60.78,27.59,13.25,5.0,4118
60175,25.0,35.29,15.2,76.14,22.15,38.0,36193
60176,12.01,25.45,53.93,38.9,15.93,11.0,14645
60178,15.5,31.02,76.03,44.79,15.82,16.0,3598
60188,14.92,26.46,80.41,29.12,14.67,13.0,2326
60223,11.81,26.73,75.48,36.25,15.3,8.0,3810
60282,9.04,14.92,67.43,23.15,14.7,6.0,9332
60286,22.72,31.49,65.77,51.45,16.63,20.0,2869
60313,13.41,24.44,82.32,38.54,15.58,14.0,2551
60338,10.5,19.28,71.89,32.01,13.92,7.0,5107
60342,12.85,19.71,68.77,29.66,14.66,12.0,4775
60346,9.3,15.34,69.08,23.51,15.84,6.0,9130
60360,17.55,27.48,53.5,42.02,20.49,16.0,7149
60368,13.98,30.19,75.81,33.21,15.41,15.0,2645
60374,17.77,28.2,80.81,36.04,16.06,14.0,2654
60382,14.5,17.54,47.28,50.22,13.59,12.0,8883
60395,18.08,28.16,60.97,39.36,17.23,21.0,14546
60414,22.11,31.78,40.08,57.79,19.88,30.0,13834
60439,17.43,29.61,58.81,41.3,16.49,16.0,5329
60446,9.88,19.72,57.53,35.74,12.14,10.0,4216
60450,9.94,20.11,75.06,22.04,12.89,7.0,4064
60462,13.87,22.22,73.78,37.01,14.22,12.0,2867
60463,20.47,30.81,41.62,55.07,19.89,29.0,21933
60471,26.42,34.93,46.1,56.31,19.22,30.0,13409
60500,9.07,16.32,53.49,38.38,13.23,8.0,3886
60509,18.15,24.37,48.85,50.77,17.47,17.0,12637
60513,8.26,16.18,80.06,19.35,12.48,6.0,3298
60524,15.61,22.82,56.49,35.92,15.45,11.0,2569
60537,17.04,26.73,72.81,36.03,16.34,15.0,3857
60575,11.24,20.17,80.52,28.26,12.81,9.0,3423
60581,18.43,29.21,53.28,53.39,16.97,20.0,6105
60584,13.5,24.14,64.84,37.41,16.49,8.0,4747
60589,14.23,27.57,43.27,54.48,15.24,13.0,3021
60612,10.88,17.26,37.18,48.53,13.93,9.0,15709
60616,18.18,32.87,74.29,33.01,15.34,13.0,2788
60636,17.18,28.36,62.82,41.7,17.2,15.0,4530
60647,9.8,24.56,83.79,24.04,14.49,11.0,2105
60665,15.96,22.83,69.41,37.6,14.53,11.0,2898
60667,13.45,25.49,61.59,36.25,12.16,9.0,3842
60670,7.21,11.35,81.23,20.16,12.58,5.0,4853
60684,21.0,25.7,53.17,47.67,17.5,23.0,6507
61001,21.03,27.37,41.98,56.27,21.08,26.0,26464
61006,20.73,30.96,47.09,56.04,20.48,22.0,13765
61007,8.33,23.72,94.24,20.55,13.08,10.0,4307
61096,10.38,33.12,93.18,26.8,13.05,12.0,3074
61145,8.79,27.6,77.06,30.04,14.86,13.0,4297
61153,10.4,26.98,85.38,27.9,13.45,12.0,2251
61167,11.02,27.23,94.7,26.37,13.9,18.0,3092
61168,17.37,32.95,68.52,37.1,17.48,18.0,5489
61169,21.09,32.24,50.26,50.64,17.75,25.0,14928
61211,10.45,31.16,93.77,26.4,16.61,12.0,2177
61214,23.2,31.95,49.31,54.74,17.05,25.0,8144
61230,13.01,32.29,92.68,19.19,14.89,14.0,2978
61293,19.25,33.45,66.5,42.49,18.09,21.0,4055
61309,8.65,22.85,96.66,19.49,16.29,11.0,2073
61339,11.53,24.34,91.86,21.03,13.22,15.0,2172
61391,10.24,23.78,90.18,22.49,14.01,8.0,3276
61397,12.51,25.33,90.75,31.93,16.03,11.0,3836
61464,15.75,32.03,65.89,43.72,15.97,16.0,4634
61474,7.11,22.15,97.73,18.06,12.96,14.0,3768
61483,12.95,26.0,63.79,30.89,12.34,12.0,2767
61484,11.19,30.05,89.62,27.27,14.74,11.0,3482
61486,11.22,30.14,88.07,27.01,14.28,14.0,4982
61491,15.57,29.85,90.55,26.88,14.59,18.0,3117
61508,22.14,40.32,59.2,44.58,15.21,21.0,3184
